ticket_id,ticket,category,priority
436,I need assistance because I received only part of my order I need an update.,Order Issue,Medium
437,I am contacting support because I need help with my subscription Please help me.,Subscription,Low
438,I placed the wrong order and need help Please help me.,Order Issue,High
439,I need support with this: I received the wrong product Please let me know what I need to do.,Order Issue,High
440,I want a refund for my order What should I do?,Refund,Medium
441,"Please help me, I am unable to sign in This is urgent.",Account Issue,Medium
442,I need support with this: my subscription payment failed This is urgent.,Subscription,High
443,"Please help me, How can I upgrade my subscription? Can you check this for me?",Subscription,Low
444,Could you please help? I forgot my password What should I do?,Account Issue,High
445,I forgot my account credentials What should I do?,Account Issue,High
446,I need support with this: The app stopped responding I need an update.,Technical Issue,High
447,Can you help? i am unable to sign in What should I do?,Account Issue,Medium
448,Can you help? i cannot log into my account Please resolve this.,Account Issue,High
449,I need support with this: i cannot log into my account Please help me.,Account Issue,Low
450,I am having trouble because Why did my online payment fail? Please resolve this.,Payment Issue,High
451,"Please help me, the expected delivery date has passed Please help me.",Delivery,Low
452,Could you please help? When will the refund be credited? Please let me know what I need to do.,Refund,Medium
453,I am having trouble because When will the refund be credited? Please resolve this.,Refund,Medium
454,Could you please help? how can i change my password? This is urgent.,Account Issue,High
455,I need support with this: i want to modify my order What should I do?,Order Issue,Low
456,I am having trouble because I need to request a refund This is urgent.,Refund,High
457,"Please help me, I was charged twice for the same order Please help me.",Payment Issue,Medium
458,Can you help? I need to request a refund What should I do?,Refund,High
459,"Please help me, please provide an update on my delivery Please resolve this.",Delivery,High
460,I need assistance because The payment was rejected even though I have enough balance,Payment Issue,Medium
461,I need assistance because I received the wrong product Please let me know what I need to do.,Order Issue,Low
462,Can you help? i need help with my subscription Please let me know what I need to do.,Subscription,Medium
463,Can i downgrade my subscription? What should I do?,Subscription,Low
464,I need assistance because I cannot reset my password Can you check this for me?,Account Issue,Low
465,Can you help? where is my order? This is urgent.,Delivery,High
466,I am having trouble because My account is locked This is urgent.,Account Issue,Medium
467,I am contacting support because I received the wrong product I need an update.,Order Issue,Medium
468,I need support with this: I have not received my refund yet This is urgent.,Refund,Medium
469,Can you help? my order contains the wrong item This is urgent.,Order Issue,Medium
470,I am having trouble because The expected delivery date has passed,Delivery,Medium
471,I am contacting support because i placed the wrong order and need help,Order Issue,High
472,I need support with this: i cannot access my account This is urgent.,Account Issue,High
473,Can you help? I forgot my password This is urgent.,Account Issue,Medium
474,"Please help me, Why was I charged for the subscription? Please let me know what I need to do.",Subscription,Low
475,I am contacting support because Where is my order? Please let me know what I need to do.,Delivery,Low
476,I am having trouble because the payment was rejected even though i have enough balance I need an update.,Payment Issue,High
477,I need assistance because My account is locked I need an update.,Account Issue,Medium
478,Can you help? How can I change my password? What should I do?,Account Issue,Medium
479,"Please help me, the refund amount is missing from my account",Refund,Medium
480,I am having trouble because the item in my order is incorrect This is urgent.,Order Issue,Medium
481,"Please help me, When will the refund be credited? I need an update.",Refund,Medium
482,I cannot reset my password What should I do?,Account Issue,Medium
483,"Please help me, i am seeing an error message Please help me.",Technical Issue,Medium
484,Could you please help? Why did my online payment fail? Please let me know what I need to do.,Payment Issue,High
485,I am having trouble because i want to cancel my order I need an update.,Order Issue,Low
486,I am having trouble because My order contains the wrong item What should I do?,Order Issue,High
487,"Please help me, The application is very slow Can you check this for me?",Technical Issue,High
488,I want to modify my order Please resolve this.,Order Issue,High
489,I need assistance because I get an error when uploading a file Can you check this for me?,Technical Issue,High
490,I was charged twice for the same order Please help me.,Payment Issue,High
491,I am contacting support because I need to update my order details,Order Issue,High
492,Could you please help? Can you tell me the delivery status?,Delivery,High
493,"Please help me, i was charged twice for the same order What should I do?",Payment Issue,Medium
494,I am having trouble because the website is not working Can you check this for me?,Technical Issue,High
495,My order contains the wrong item What should I do?,Order Issue,Medium
496,I need assistance because My order contains the wrong item This is urgent.,Order Issue,Medium
497,I need support with this: The mobile app keeps freezing This is urgent.,Technical Issue,Medium
498,I need support with this: How can I upgrade my subscription? Can you check this for me?,Subscription,Low
499,Could you please help? Can I change my order before it ships? This is urgent.,Order Issue,Low
500,I need to request a refund Please help me.,Refund,High
501,I need assistance because my card payment was declined,Payment Issue,Medium
502,I am contacting support because the mobile app keeps freezing What should I do?,Technical Issue,High
503,Can you help? The application is very slow I need an update.,Technical Issue,Medium
504,I need support with this: Can you tell me the delivery status? Please resolve this.,Delivery,High
505,Could you please help? The delivery is taking too long Can you check this for me?,Delivery,Low
506,Could you please help? The refund amount is missing from my account Please help me.,Refund,High
507,"Please help me, Money was deducted but my order was not confirmed Please let me know what I need to do.",Payment Issue,Medium
508,My card payment was declined This is urgent.,Payment Issue,Medium
509,I need support with this: The expected delivery date has passed This is urgent.,Delivery,Low
510,I am contacting support because I cannot reset my password I need an update.,Account Issue,High
511,"Please help me, I am unable to sign in",Account Issue,Low
512,I need assistance because I returned the product but have not received my money What should I do?,Refund,Medium
513,I need support with this: I forgot my account credentials Please resolve this.,Account Issue,Medium
514,I am contacting support because My shipment has not arrived yet Can you check this for me?,Delivery,Low
515,I need assistance because I want to renew my subscription Please let me know what I need to do.,Subscription,High
516,I am having trouble because money was deducted but my order was not confirmed Please help me.,Payment Issue,Medium
517,I need support with this: how can i change my password? Can you check this for me?,Account Issue,High
518,"Please help me, i want to track my package Please resolve this.",Delivery,High
519,I am contacting support because how can i upgrade my subscription? Can you check this for me?,Subscription,Medium
520,"Please help me, please process my refund I need an update.",Refund,High
521,I need support with this: i returned the product but have not received my money Please resolve this.,Refund,High
522,I am having trouble because the item in my order is incorrect This is urgent.,Order Issue,High
523,Could you please help? i want to cancel my subscription This is urgent.,Subscription,Medium
524,"Please help me, I have not received my refund yet What should I do?",Refund,Medium
525,I need support with this: the payment was rejected even though i have enough balance I need an update.,Payment Issue,High
526,I want a refund for my order I need an update.,Refund,Medium
527,I need assistance because my order contains the wrong item Please let me know what I need to do.,Order Issue,High
528,I need assistance because the website keeps crashing Please let me know what I need to do.,Technical Issue,Medium
529,I was charged but the transaction failed Please resolve this.,Payment Issue,Medium
530,I am contacting support because the website keeps crashing This is urgent.,Technical Issue,High
531,Can you help? I returned the product but have not received my money This is urgent.,Refund,High
532,I need assistance because I forgot my account credentials Please let me know what I need to do.,Account Issue,High
533,I was charged but the transaction failed What should I do?,Payment Issue,Medium
534,I am having trouble because I have not received my refund yet What should I do?,Refund,Medium
535,Can you help? My payment failed while placing the order Please let me know what I need to do.,Payment Issue,Medium
536,Can you help? My account is locked,Account Issue,Low
537,Can you help? my package has not arrived Please let me know what I need to do.,Delivery,High
538,I returned the product but have not received my money What should I do?,Refund,Medium
539,Can you help? I am seeing an error message Please help me.,Technical Issue,Medium
540,I need support with this: The delivery is taking too long Please resolve this.,Delivery,Low
541,I am contacting support because I received only part of my order This is urgent.,Order Issue,Low
542,Could you please help? when will the refund be credited? Please let me know what I need to do.,Refund,High
543,I am contacting support because my payment is still pending What should I do?,Payment Issue,High
544,I need assistance because I forgot my account credentials Can you check this for me?,Account Issue,Medium
545,I am contacting support because My subscription was cancelled unexpectedly Can you check this for me?,Subscription,High
546,Can you help? I want to track my package What should I do?,Delivery,Low
547,I am contacting support because My subscription payment failed This is urgent.,Subscription,Low
548,Could you please help? I have not received my refund yet Can you check this for me?,Refund,Medium
549,"Please help me, When will the refund be credited? Please help me.",Refund,Medium
550,"Please help me, the website is not working Please resolve this.",Technical Issue,High
551,I am having trouble because My order contains the wrong item,Order Issue,High
552,"Please help me, The application is crashing when I open it This is urgent.",Technical Issue,High
553,Where is my order? I need an update.,Delivery,Low
554,Could you please help? i want to renew my subscription Can you check this for me?,Subscription,High
555,I need support with this: my login is not working Please let me know what I need to do.,Account Issue,High
556,I need support with this: How long will my refund take? Can you check this for me?,Refund,Medium
557,Could you please help? I want to modify my order Please let me know what I need to do.,Order Issue,Low
558,I need support with this: I was charged twice for the same order This is urgent.,Payment Issue,Medium
559,I need assistance because Money was deducted but my order was not confirmed Please let me know what I need to do.,Payment Issue,High
560,Can you help? I want to modify my order Please resolve this.,Order Issue,Medium
561,Could you please help? i want to track my package,Delivery,Low
562,Can you help? Can I change my order before it ships? This is urgent.,Order Issue,Medium
563,"Please help me, Why was I charged for the subscription? Please help me.",Subscription,Medium
564,Why was i charged for the subscription? Can you check this for me?,Subscription,High
565,Could you please help? the application is very slow Can you check this for me?,Technical Issue,High
566,I need support with this: How can I change my password? Please help me.,Account Issue,High
567,I am contacting support because How can I upgrade my subscription?,Subscription,Low
568,I am contacting support because why was i charged for the subscription? Please let me know what I need to do.,Subscription,Medium
569,I need support with this: how can i change my password? Please resolve this.,Account Issue,Medium
570,I need assistance because I need help with my subscription Please help me.,Subscription,High
571,"Please help me, How do I change my subscription plan?",Subscription,Medium
572,Could you please help? How can I upgrade my subscription?,Subscription,High
573,Can you help? why was i charged for the subscription? Please help me.,Subscription,Medium
574,I need support with this: The page is not loading Please resolve this.,Technical Issue,High
575,Can you help? The refund amount is missing from my account I need an update.,Refund,High
576,Can you help? I forgot my account credentials Can you check this for me?,Account Issue,High
577,I need assistance because I cannot reset my password Please help me.,Account Issue,Low
578,I am contacting support because My package is delayed Please resolve this.,Delivery,High
579,I am contacting support because my subscription payment failed Please let me know what I need to do.,Subscription,High
580,"Please help me, The expected delivery date has passed I need an update.",Delivery,High
581,I am having trouble because I was charged for my subscription I need an update.,Subscription,High
582,"Please help me, Can you tell me the delivery status? Please let me know what I need to do.",Delivery,Low
583,I need assistance because i cannot access my account Please let me know what I need to do.,Account Issue,Medium
584,Could you please help? I am unable to sign in,Account Issue,High
585,The website is not working Please resolve this.,Technical Issue,Medium
586,I placed the wrong order and need help What should I do?,Order Issue,Medium
587,I need assistance because I need help with a failed payment I need an update.,Payment Issue,High
588,I need support with this: why did my online payment fail? Please help me.,Payment Issue,Medium
589,I need support with this: i forgot my account credentials This is urgent.,Account Issue,Low
590,Could you please help? My package is delayed Please resolve this.,Delivery,Medium
591,I need support with this: I received only part of my order What should I do?,Order Issue,Low
592,Could you please help? The website is not working What should I do?,Technical Issue,Medium
593,I need help with a failed payment Please resolve this.,Payment Issue,High
594,"Please help me, i have not received my refund yet Can you check this for me?",Refund,Medium
595,Can you help? My subscription payment failed Can you check this for me?,Subscription,High
596,"Please help me, My order contains the wrong item This is urgent.",Order Issue,Medium
597,I need assistance because The delivery is taking too long I need an update.,Delivery,Medium
598,Please process my refund I need an update.,Refund,High
599,I am having trouble because Money was deducted but my order was not confirmed Please help me.,Payment Issue,High
600,I want to renew my subscription I need an update.,Subscription,Medium
601,I need assistance because I received only part of my order This is urgent.,Order Issue,High
602,"Please help me, My login is not working This is urgent.",Account Issue,Medium
603,Can you help? my refund is still pending Can you check this for me?,Refund,Medium
604,I need support with this: i cannot access my account Please let me know what I need to do.,Account Issue,Medium
605,I need support with this: My account is locked This is urgent.,Account Issue,High
606,I forgot my account credentials This is urgent.,Account Issue,Low
607,I am having trouble because I need to update my order details Please help me.,Order Issue,Low
608,I am contacting support because I need help with my subscription,Subscription,High
609,Could you please help? How do I change my subscription plan? Can you check this for me?,Subscription,Low
610,I need assistance because I want to cancel my subscription Please resolve this.,Subscription,Medium
611,How can i upgrade my subscription? Please let me know what I need to do.,Subscription,Low
612,"Please help me, I need to update my order details Can you check this for me?",Order Issue,High
613,"Please help me, Please process my refund This is urgent.",Refund,Medium
614,Could you please help? I want a refund for my order Please help me.,Refund,Medium
615,"Please help me, How long will my refund take? This is urgent.",Refund,Medium
616,I am having trouble because My shipment has not arrived yet Please help me.,Delivery,High
617,Can you help? Why did my online payment fail? What should I do?,Payment Issue,High
618,I am contacting support because The item in my order is incorrect,Order Issue,Low
619,Could you please help? i need to request a refund What should I do?,Refund,Medium
620,Can you help? How can I change my password?,Account Issue,High
621,Could you please help? i was charged but the transaction failed I need an update.,Payment Issue,Medium
622,I am having trouble because My order was cancelled unexpectedly This is urgent.,Order Issue,Medium
623,I want a refund for my order Please resolve this.,Refund,High
624,I am having trouble because the expected delivery date has passed Can you check this for me?,Delivery,Medium
625,I need assistance because i was charged but the transaction failed I need an update.,Payment Issue,High
626,I need assistance because The product is damaged and I want a refund Can you check this for me?,Refund,Medium
627,I am having trouble because I cannot access my account Please help me.,Account Issue,Low
628,I am contacting support because Why did my online payment fail? I need an update.,Payment Issue,Medium
629,Could you please help? My subscription was cancelled unexpectedly Can you check this for me?,Subscription,High
630,The refund amount is missing from my account This is urgent.,Refund,Medium
631,"Please help me, the expected delivery date has passed This is urgent.",Delivery,Medium
632,I need assistance because Why was I charged for the subscription? Please resolve this.,Subscription,Medium
633,I need assistance because My order was cancelled unexpectedly What should I do?,Order Issue,Medium
634,I need assistance because Why was I charged for the subscription? Please let me know what I need to do.,Subscription,Low
635,I am contacting support because I need help with my subscription Please let me know what I need to do.,Subscription,High
636,I am having trouble because please process my refund Please let me know what I need to do.,Refund,Medium
637,I need support with this: My subscription payment failed Please let me know what I need to do.,Subscription,High
638,"Please help me, how do i change my subscription plan? Please help me.",Subscription,Low
639,"Please help me, i want to renew my subscription Can you check this for me?",Subscription,Medium
640,Can you help? How can I change my password? Can you check this for me?,Account Issue,Low
641,Could you please help? I forgot my account credentials This is urgent.,Account Issue,High
642,Could you please help? i need to request a refund This is urgent.,Refund,High
643,I need support with this: My account is locked This is urgent.,Account Issue,Low
644,Can you tell me the delivery status? Please help me.,Delivery,Low
645,I am contacting support because The page is not loading This is urgent.,Technical Issue,Medium
646,I need assistance because The application is crashing when I open it Please let me know what I need to do.,Technical Issue,Medium
647,I need support with this: I cannot log into my account,Account Issue,Medium
648,I need support with this: The refund amount is missing from my account Please resolve this.,Refund,Medium
649,"Please help me, how long will my refund take? Please help me.",Refund,High
650,I am having trouble because i placed the wrong order and need help Can you check this for me?,Order Issue,High
651,I am having trouble because My package is delayed,Delivery,Low
652,My shipment has not arrived yet I need an update.,Delivery,Medium
653,"Please help me, The application is crashing when I open it Please let me know what I need to do.",Technical Issue,High
654,I need support with this: My order contains the wrong item This is urgent.,Order Issue,High
655,I am having trouble because I cannot log into my account This is urgent.,Account Issue,Medium
656,I am having trouble because How do I change my subscription plan? Please help me.,Subscription,High
657,"Please help me, please provide an update on my delivery What should I do?",Delivery,Medium
658,I am having trouble because why was i charged for the subscription? What should I do?,Subscription,Low
659,Can you help? Can you tell me the delivery status?,Delivery,High
660,I am having trouble because money was deducted but my order was not confirmed Please resolve this.,Payment Issue,Medium
661,I need support with this: i cannot reset my password Please resolve this.,Account Issue,Low
662,Could you please help? i have not received my refund yet,Refund,Medium
663,Can you help? the payment page shows an error Please help me.,Payment Issue,High
664,I was charged twice for the same order I need an update.,Payment Issue,Medium
665,I am having trouble because I am seeing an error message Please help me.,Technical Issue,High
666,I need support with this: I cannot complete the checkout because of an error Please help me.,Technical Issue,Medium
667,Could you please help? When will the refund be credited? Please resolve this.,Refund,High
668,I need assistance because I need to update my order details I need an update.,Order Issue,Medium
669,I am contacting support because My shipment has not arrived yet I need an update.,Delivery,High
670,I am contacting support because the payment was rejected even though i have enough balance,Payment Issue,High
671,I need assistance because My subscription was cancelled unexpectedly This is urgent.,Subscription,High
672,"Please help me, I cannot reset my password What should I do?",Account Issue,High
673,Can I change my order before it ships? This is urgent.,Order Issue,Low
674,I need support with this: Where is my order? Can you check this for me?,Delivery,High
675,My subscription payment failed Please resolve this.,Subscription,Low
676,I am having trouble because please process my refund,Refund,High
677,Can you help? i want to cancel my subscription Please help me.,Subscription,Medium
678,I am contacting support because my subscription payment failed Please help me.,Subscription,Medium
679,Can you help? When will the refund be credited? Please help me.,Refund,Medium
680,I am unable to sign in Please help me.,Account Issue,Medium
681,"Please help me, i want to track my package I need an update.",Delivery,Medium
682,Could you please help? My account is locked Please let me know what I need to do.,Account Issue,Medium
683,Can you help? I want a refund for my order,Refund,High
684,My payment failed while placing the order I need an update.,Payment Issue,High
685,"Please help me, My card payment was declined This is urgent.",Payment Issue,Medium
686,"Please help me, My login is not working Please help me.",Account Issue,High
687,I need support with this: My package is delayed This is urgent.,Delivery,Low
688,I am contacting support because When will my order be delivered? Please let me know what I need to do.,Delivery,Medium
689,I need support with this: I placed the wrong order and need help This is urgent.,Order Issue,Low
690,I need support with this: My subscription was cancelled unexpectedly Please help me.,Subscription,High
691,I am having trouble because Why did my online payment fail?,Payment Issue,High
692,I am having trouble because The delivery is taking too long What should I do?,Delivery,Medium
693,"Please help me, The payment was rejected even though I have enough balance Please help me.",Payment Issue,High
694,Can you help? the mobile app keeps freezing This is urgent.,Technical Issue,Medium
695,"Please help me, the application is crashing when i open it This is urgent.",Technical Issue,Medium
696,Can you help? Why was I charged for the subscription? Please let me know what I need to do.,Subscription,Low
697,I need support with this: I have not received my refund yet I need an update.,Refund,Medium
698,Could you please help? Can you tell me the delivery status? Can you check this for me?,Delivery,High
699,I am contacting support because Please provide an update on my delivery Please help me.,Delivery,Low
700,The expected delivery date has passed,Delivery,Medium
701,I need assistance because My refund is still pending This is urgent.,Refund,Medium
702,Can you help? Can I change my order before it ships? This is urgent.,Order Issue,Medium
703,I need support with this: I forgot my account credentials Please let me know what I need to do.,Account Issue,High
704,Could you please help? I need help with a failed payment Please resolve this.,Payment Issue,Medium
705,I am having trouble because I cannot reset my password Can you check this for me?,Account Issue,Medium
706,Could you please help? I want a refund for my order Can you check this for me?,Refund,Medium
707,I am contacting support because money was deducted but my order was not confirmed I need an update.,Payment Issue,High
708,My card payment was declined I need an update.,Payment Issue,High
709,I am contacting support because How can I change my password? What should I do?,Account Issue,Medium
710,"Please help me, The payment page shows an error Please help me.",Payment Issue,Medium
711,I need assistance because Can I change my order before it ships? Can you check this for me?,Order Issue,Low
712,"Please help me, Why did my online payment fail? Please let me know what I need to do.",Payment Issue,Medium
713,Can you help? The payment was rejected even though I have enough balance Can you check this for me?,Payment Issue,Medium
714,Can you help? I want to modify my order Please help me.,Order Issue,High
715,The expected delivery date has passed I need an update.,Delivery,Low
716,I am contacting support because my card payment was declined This is urgent.,Payment Issue,Medium
717,Could you please help? I want to track my package Can you check this for me?,Delivery,Low
718,The delivery is taking too long Please let me know what I need to do.,Delivery,High
719,My payment is still pending Please let me know what I need to do.,Payment Issue,High
720,"Please help me, The mobile app keeps freezing Please resolve this.",Technical Issue,High
721,Could you please help? Please process my refund,Refund,High
722,I am having trouble because I am seeing an error message Please help me.,Technical Issue,Medium
723,"Please help me, The website is not working I need an update.",Technical Issue,Medium
724,I need assistance because I received only part of my order,Order Issue,Medium
725,I need help with my subscription,Subscription,Low
726,I need assistance because When will the refund be credited? Can you check this for me?,Refund,High
727,Could you please help? The app stopped responding Can you check this for me?,Technical Issue,Medium
728,I am contacting support because The product is damaged and I want a refund Please resolve this.,Refund,High
729,"Please help me, i returned the product but have not received my money I need an update.",Refund,High
730,I am having trouble because I need to update my order details Please let me know what I need to do.,Order Issue,Medium
731,I need support with this: The website keeps crashing Please help me.,Technical Issue,Medium
732,Can you help? My package has not arrived Please let me know what I need to do.,Delivery,High
733,I need support with this: i am seeing an error message Please let me know what I need to do.,Technical Issue,High
734,"Please help me, My card payment was declined Please help me.",Payment Issue,High
735,I need assistance because The item in my order is incorrect Please let me know what I need to do.,Order Issue,Low
736,I am having trouble because my card payment was declined This is urgent.,Payment Issue,Medium
737,I am having trouble because Can you tell me the delivery status? What should I do?,Delivery,Medium
738,"Please help me, I need to update my order details Please resolve this.",Order Issue,Medium
739,I am contacting support because Money was deducted but my order was not confirmed This is urgent.,Payment Issue,High
740,Can you help? i cannot reset my password Please let me know what I need to do.,Account Issue,Medium
741,I need assistance because When will my order be delivered? Please help me.,Delivery,High
742,"Please help me, how can i change my password? Please resolve this.",Account Issue,Low
743,I am contacting support because When will the refund be credited? Please let me know what I need to do.,Refund,High
744,I am having trouble because i want to renew my subscription,Subscription,High
745,Could you please help? My package has not arrived Please resolve this.,Delivery,High
746,I need assistance because why did my online payment fail? This is urgent.,Payment Issue,Medium
747,I am having trouble because I want to renew my subscription What should I do?,Subscription,Low
748,My card payment was declined What should I do?,Payment Issue,Medium
749,I was charged but the transaction failed,Payment Issue,Medium
750,I need support with this: Can you tell me the delivery status? Please help me.,Delivery,Medium
751,Could you please help? The item in my order is incorrect Please let me know what I need to do.,Order Issue,Low
752,"Please help me, My payment is still pending This is urgent.",Payment Issue,Medium
753,Could you please help? The application is very slow I need an update.,Technical Issue,High
754,Could you please help? I was charged twice for the same order I need an update.,Payment Issue,Medium
755,"Please help me, I returned the product but have not received my money",Refund,Medium
756,Can you help? the payment page shows an error I need an update.,Payment Issue,Medium
757,"Please help me, can i change my order before it ships? Can you check this for me?",Order Issue,Medium
758,I need support with this: i want to cancel my order,Order Issue,Medium
759,Can you help? The application is very slow Can you check this for me?,Technical Issue,High
760,I am having trouble because I was charged but the transaction failed Can you check this for me?,Payment Issue,High
761,I need support with this: the payment was rejected even though i have enough balance What should I do?,Payment Issue,Medium
762,I need assistance because The item in my order is incorrect What should I do?,Order Issue,Medium
763,Could you please help? I need help with a failed payment Please let me know what I need to do.,Payment Issue,High
764,Could you please help? i cannot complete the checkout because of an error Please resolve this.,Technical Issue,High
765,Why did my online payment fail? This is urgent.,Payment Issue,High
766,My subscription payment failed What should I do?,Subscription,Low
767,I need assistance because I have not received my refund yet,Refund,High
768,Can you help? where is my order? Please help me.,Delivery,High
769,"Please help me, how long will my refund take? Can you check this for me?",Refund,High
770,I need support with this: I need help with a failed payment Please let me know what I need to do.,Payment Issue,Medium
771,I am contacting support because i forgot my password This is urgent.,Account Issue,Medium
772,I am unable to sign in This is urgent.,Account Issue,Low
773,Can you help? how long will my refund take? What should I do?,Refund,Medium
774,Can you help? The expected delivery date has passed I need an update.,Delivery,High
775,I cannot reset my password Please help me.,Account Issue,Low
776,Could you please help? my payment failed while placing the order What should I do?,Payment Issue,Medium
777,I am having trouble because i cannot complete the checkout because of an error Can you check this for me?,Technical Issue,Medium
778,I need support with this: My shipment has not arrived yet Please help me.,Delivery,Medium
779,I need assistance because I received only part of my order Please help me.,Order Issue,Low
780,I am having trouble because The expected delivery date has passed This is urgent.,Delivery,High
781,I need support with this: can i downgrade my subscription? Please help me.,Subscription,Medium
782,I need assistance because the payment was rejected even though i have enough balance What should I do?,Payment Issue,Medium
783,I need assistance because I cannot reset my password Can you check this for me?,Account Issue,Medium
784,I am contacting support because my payment failed while placing the order I need an update.,Payment Issue,Medium
785,I am contacting support because why was i charged for the subscription?,Subscription,Low
786,Could you please help? I need to update my order details Please let me know what I need to do.,Order Issue,High
787,I need assistance because Why was I charged for the subscription? This is urgent.,Subscription,Medium
788,I need assistance because I am unable to sign in Please let me know what I need to do.,Account Issue,High
789,I need assistance because my subscription was cancelled unexpectedly,Subscription,Medium
790,"Please help me, I was charged for my subscription Please let me know what I need to do.",Subscription,Low
791,I am having trouble because The website is not working Please let me know what I need to do.,Technical Issue,High
792,"Please help me, Where is my order? Please let me know what I need to do.",Delivery,High
793,"Please help me, My package has not arrived",Delivery,Medium
794,Can you help? Please help me recover my account,Account Issue,Medium
795,Could you please help? my account is locked This is urgent.,Account Issue,High
796,I am contacting support because the app stopped responding Please resolve this.,Technical Issue,High
797,Could you please help? My login is not working,Account Issue,High
798,Could you please help? I cannot log into my account What should I do?,Account Issue,High
799,Could you please help? Can you tell me the delivery status? Can you check this for me?,Delivery,Medium
800,I am having trouble because i was charged but the transaction failed I need an update.,Payment Issue,High
801,"Please help me, The application is crashing when I open it Please let me know what I need to do.",Technical Issue,High
802,Could you please help? I want to track my package Please help me.,Delivery,Medium
803,I need support with this: Please help me recover my account This is urgent.,Account Issue,Medium
804,I need support with this: The website keeps crashing I need an update.,Technical Issue,High
805,The page is not loading Please resolve this.,Technical Issue,Medium
806,I am having trouble because my card payment was declined Can you check this for me?,Payment Issue,High
807,Can you help? i was charged twice for the same order What should I do?,Payment Issue,Medium
808,I need assistance because My subscription was cancelled unexpectedly What should I do?,Subscription,Low
809,My card payment was declined Please resolve this.,Payment Issue,High
810,I am contacting support because My package is delayed I need an update.,Delivery,Low
811,Can you help? The website is not working Please let me know what I need to do.,Technical Issue,High
812,I need assistance because When will the refund be credited? This is urgent.,Refund,Medium
813,How long will my refund take? What should I do?,Refund,High
814,Could you please help? Can you tell me the delivery status? This is urgent.,Delivery,Low
815,Can you help? where is my order? Please help me.,Delivery,Medium
816,I am contacting support because I placed the wrong order and need help Can you check this for me?,Order Issue,High
817,"Please help me, The website is not working Please help me.",Technical Issue,Medium
818,I need to update my order details Please help me.,Order Issue,Medium
819,I am having trouble because i want to cancel my order Please help me.,Order Issue,Low
820,I am having trouble because I was charged but the transaction failed I need an update.,Payment Issue,Medium
821,"Please help me, The payment was rejected even though I have enough balance I need an update.",Payment Issue,Medium
822,Could you please help? I want to renew my subscription Please help me.,Subscription,Low
823,Could you please help? the payment page shows an error I need an update.,Payment Issue,Medium
824,I am contacting support because please process my refund What should I do?,Refund,High
825,I need assistance because I placed the wrong order and need help This is urgent.,Order Issue,Low
826,I want to track my package I need an update.,Delivery,High
827,"Please help me, i want to cancel my subscription Please resolve this.",Subscription,High
828,I need assistance because I cannot complete the checkout because of an error Please resolve this.,Technical Issue,High
829,Can you help? i cannot reset my password What should I do?,Account Issue,High
830,I am having trouble because My package is delayed Please help me.,Delivery,Low
831,"Please help me, i want a refund for my order I need an update.",Refund,High
832,I need support with this: my shipment has not arrived yet Please let me know what I need to do.,Delivery,High
833,Could you please help? The application is very slow Please resolve this.,Technical Issue,High
834,Could you please help? the app stopped responding I need an update.,Technical Issue,Medium
835,The website is not working I need an update.,Technical Issue,Medium
836,I need support with this: my account is locked This is urgent.,Account Issue,Low
837,I need support with this: I need help with my subscription Please help me.,Subscription,High
838,Can you help? I want to cancel my order Please resolve this.,Order Issue,Medium
839,I need support with this: The website is not working This is urgent.,Technical Issue,High
840,I am having trouble because I was charged but the transaction failed Please let me know what I need to do.,Payment Issue,High
841,I need assistance because when will the refund be credited? I need an update.,Refund,High
842,I need support with this: i want to track my package Can you check this for me?,Delivery,Medium
843,I am having trouble because please provide an update on my delivery Please resolve this.,Delivery,High
844,"Please help me, Can I change my order before it ships? Please let me know what I need to do.",Order Issue,Medium
845,My package has not arrived,Delivery,Low
846,I need support with this: The page is not loading Please help me.,Technical Issue,High
847,My payment is still pending I need an update.,Payment Issue,High
848,I need support with this: I am unable to sign in Can you check this for me?,Account Issue,Low
849,I am having trouble because The expected delivery date has passed,Delivery,High
850,I am having trouble because I placed the wrong order and need help I need an update.,Order Issue,Low
851,I need support with this: My login is not working What should I do?,Account Issue,Low
852,"Please help me, i forgot my account credentials Please resolve this.",Account Issue,Medium
853,I am having trouble because I need help with a failed payment Please let me know what I need to do.,Payment Issue,Medium
854,I am contacting support because my subscription was cancelled unexpectedly I need an update.,Subscription,Medium
855,I am contacting support because i forgot my account credentials Please help me.,Account Issue,Low
856,I need assistance because The application is very slow Can you check this for me?,Technical Issue,High
857,I need support with this: the payment page shows an error Please let me know what I need to do.,Payment Issue,Medium
858,I need assistance because i cannot complete the checkout because of an error I need an update.,Technical Issue,Medium
859,"Please help me, my login is not working What should I do?",Account Issue,High
860,I need help with my subscription Please let me know what I need to do.,Subscription,High
861,"Please help me, why was i charged for the subscription? I need an update.",Subscription,Medium
862,I need assistance because Can I change my order before it ships? What should I do?,Order Issue,High
863,My card payment was declined Can you check this for me?,Payment Issue,High
864,I need support with this: how long will my refund take?,Refund,Medium
865,Could you please help? the item in my order is incorrect What should I do?,Order Issue,High
866,I am contacting support because Please provide an update on my delivery What should I do?,Delivery,High
867,I need assistance because My account is locked Please resolve this.,Account Issue,Medium
868,I need support with this: my refund is still pending Please resolve this.,Refund,Medium
869,I need assistance because My login is not working,Account Issue,Low
870,I am contacting support because i received the wrong product What should I do?,Order Issue,Low
871,I need assistance because The application is very slow,Technical Issue,Medium
